Project,Sinned here,Redeemed here,Violated rule,Status
1,https://github.com/firebata/Code-Generator/blob/d065d882e447f6628a43189b2d7d8993334a7e36/zlinks-common-lib/src/main/java/com/zlinks/common/BaseConfig.java#L10,?,For rule : @Bean on method --> @Component || @Configuration on class,Reported
2,https://github.com/dempeZheng/dolphin/blob/ab0ed8af81b89b4b0cff0b2ff30bc924d4513b78/dolphin-commons/src/main/java/com/zhizus/forest/dolphin/support/ThriftProviderAspect.java#L24,?,For rule : @Order on class --> @Component on class,Reported
3,https://github.com/EdisonChou/EDC.SpringCloud.Samples/blob/9bc60a7ea9664a121e7ddb34b096c4d008ce8725/src/part5_zuul/file-service/src/main/java/com/mbps/cd/fileservice/web/FileUploadController.java#L19,?,For rule : @*Mapping --> @Controller || @RestController on class or method,Reported
4,https://github.com/gulihua10010/eshop/blob/6120ea8b01d38ec1bd61ae714cdee8b632b6c837/eshop-dubbo-admin/src/main/java/com/alibaba/dubboadmin/web/mvc/home/StatusController.java#L36,?,For rule : @Autowired on field --> @Component on class,Reported
4,https://github.com/gulihua10010/eshop/blob/6120ea8b01d38ec1bd61ae714cdee8b632b6c837/eshop-dubbo-admin/src/main/java/com/alibaba/dubboadmin/web/mvc/home/ServicestatusController.java#L33,?,For rule : @Autowired on field --> @Component on class,Reported
5,https://github.com/core-lib/httpdoc/blob/9e83b307a3bae0b857f6bad61a11c19ce4245254/httpdoc-spring-mvc/src/main/java/io/httpdoc/spring/mvc/SpringMVCHttpdocController.java#L32,?,For rule : @*Mapping --> @Controller || @RestController on class or method,Reported
6,https://github.com/zhouhuan751312/J2EEFAST/blob/7e18be194229211eca3fbbf8ef7b482e4fb481df/fast-common/src/main/java/com/j2eefast/common/core/thread/ThreadPoolConfig.java#L16,?,For rule : @Bean on method --> @Component || @Configuration on class,Intentional violation
7,https://github.com/cjunflying/jt808/blob/cbf0fb6a92fc64bcefb1644ccc34cc2fbcac1b39/src/main/java/com/mortals/iot/framework/cfg/MybatisConfiguration.java#L24,?,For rule : @Bean on method --> @Component || @Configuration on class,Reported
8,https://github.com/justauth/justauth-spring-boot-starter-demo/blob/680c7a0f42b2c9750997b89a6fe0c9454cd0b2ee/src/main/java/com/xkcoding/justauthspringbootstarterdemo/AuthStateConfiguration.java#L14,?,For rule : @Bean on method --> @Component || @Configuration on class,Reported
9,https://github.com/pq-dong/movierecommend/blob/625092676e2dfb2b2ee29952a0da55deb3a548ab/src/main/java/pqdong/movie/recommend/config/ElasticSearchConfig.java#L19,?,For rule : @Bean on method --> @Component || @Configuration on class,Reported
10,https://github.com/vanDusty/SpringBoot-Home/blob/ead464291241006fdaaf050f0ee7c085d780b994/springboot-demo-mybatis-plus/mybatis-plus-demo/src/main/java/cn/van/mybatis/plus/demo/config/MybatisPlusConfig.java#L17,?,For rule : @Bean on method --> @Component || @Configuration on class,Reported
11,https://github.com/leaJone/mybot/blob/444bcdea8f760610f5182e8aefe43f1e170bbff7/src/main/java/com/boot/lea/mybot/cache/BotCache.java#L15,?,For rule : @Bean on method --> @Component || @Configuration on class,Reported
12,https://github.com/zhuzhengping911/MySpringBoot/blob/fab526fe35639968dff6d73ac44de541f3c5d00b/src/main/java/com/Filter/WebConfiguration.java#L11,?,For rule : @Bean on method --> @Component || @Configuration on class,Reported
13,https://github.com/keumtae-kim/spring-boot-react-blog/blob/8d69174198e8b28dcdd4bd477b4e04675890cf48/blog-backend/src/main/java/me/ktkim/blog/config/DatabaseConfig.java#L17,?,For rule : @Bean on method --> @Component || @Configuration on class,Reported
14,https://github.com/songxinjianqwe/SpringBootSOASkeleton/blob/5ab27c47bedea5c39790a4d328d2008c12c975b9/web/src/main/java/cn/sinjinsong/skeleton/security/oauth/ThirdPartyLoginHelper.java#L13,?,For rule : @Autowired on field --> @Component on class,Reported
14,https://github.com/songxinjianqwe/SpringBootSOASkeleton/blob/5ab27c47bedea5c39790a4d328d2008c12c975b9/common/src/main/java/cn/sinjinsong/common/config/HTTPSConfig.java#L15,?,For rule : @Bean on method --> @Component || @Configuration on class,Reported
15,https://github.com/duyleduc/spring-boot-webflux-security/blob/be4822432f0faae939209186e53d67e612187e84/src/main/java/com/l2d/tuto/springbootwebfluxsecurity/configuration/JacksonConfiguration.java#L23,?,For rule : @Bean on method --> @Component || @Configuration on class,Reported
16,https://github.com/daggerok/streaming-file-server/blob/dea9b5a1cbd84580d15eacd92039979ac364e210/modules/apps/file-items-service/src/main/java/daggerok/config/CorsWebFluxCfg.java#L12,?,For rule : @Bean on method --> @Component || @Configuration on class,Reported
,,,,
,,,,
,Rules violated (unique):,,,
,For rule : @Bean on method --> @Component || @Configuration on class,,,
,For rule : @Autowired on field --> @Component on class,,,
,For rule : @Order on class --> @Component on class,,,
,For rule : @*Mapping --> @Controller || @RestController on class or method,,,
